Medellin;Colombia;6,25184;-75,56359
Bogota;Colombia;4,60971;-74,08175
Cali;Colombia;3,43722;-76,5225
Buenos Aires;Argentina;-34,61315;-58,37723
Rosario;Argentina;-32,94682;-60,63932
Cancun;Mexico;21,17429;-86,84656
Guadalajara;Mexico;20,66682;-103,39182
Miami;EEUU;25,77427;-80,19366
New York;EEUU;40,71427;-74,00597
Los Angeles;EEUU;34,05223;-118,24368
Madrid;España;40,4165;-3,70256
Barcelona;España;41,38879;2,15899
Paris;Francia;48,85341;2,3488
Marseille;Francia;43,29695;5,38107
Moscu;Rusia;55,75222;37,61556
Kazan;Rusia;55,78874;49,12214
Beijing;China;39,9075;116,39723
Shanghai;China;31,22222;121,45806
Tokyo;Japon;35,6895;139,69171
Kyoto;Japon;35,02107;135,75385
Sidney;Australia;-33,86785;151,20732
Perth;Australia;-31,95224;115,8614
Antartida;Antartida;-75,250973;-0,071389
